src-ip,risk-factor,categories
2390872136,1.0,0
584179858,1.0,0
2087885482,1.0,0
3584858198,1.0,0
1596927275,1.0,0
3537787762,1.0,0
2499489289,1.0,0
3232235784,1.0,0
624000638,5.7,2
1937727665,-99999.0,0
770826095,1.0,0
1741136134,8.6,2
701774523,-99999.0,0
3232235778,1.0,0
3580044050,1.0,0
995991159,1.0,0
1856733178,1.0,0
2031107992,1.0,0
1497369295,5.7,2
1342433871,1.0,0
693811825,1.0,0
630064787,5.7,2
1730546718,4.3,2
1914893240,1.0,0
1975959884,5.7,2
1886908382,1.0,0
96319801,1.0,0
96319801,1.0,0
1968255870,5.7,2
1758417666,1.0,0
1942031256,1.0,0
1395432144,1.0,0
2944934710,1.0,0
995824110,5.7,2
1387452060,1.0,0
1742865720,1.0,0
2104477220,1.0,0
2120149835,1.0,0
843145409,1.0,0
993537643,2.9,2
42540488210633193209433587357587025464,1.0,0
704282692,1.0,0
3032439831,1.0,0
2818150408,1.0,0
3105216683,1.0,0
1592979010,5.7,2
1721620484,1.0,0
1890373511,1.0,0
3013556273,1.0,0
1022799886,1.0,0
3588646414,2.9,2
42540488210633193209774998016143724967,1.0,0
3034189913,1.0,0
453327631,1.0,0
1602963524,1.0,0
917287093,1.0,0
694718222,1.0,0
824268731,1.0,0
1984159694,1.4,2
3155933278,1.0,0
3526764364,1.0,0
698654156,1.0,0
1811050620,1.0,0
1018472924,1.0,0
3679299017,1.0,0
3588646414,2.9,2
3728936629,1.0,0
1376458275,1.0,0
1834893971,1.0,0
1570496397,1.0,0
2034918316,1.0,0
3327433243,1.0,0
520729637,1.0,0
1928236283,-99999.0,0
3076017798,5.7,2
1382440137,1.0,0
3191536658,1.0,0
1300763442,1.0,0
3588646414,2.9,2
1776589958,1.0,0
3582987324,1.0,0
47878210244800416303340004897311899903,1.0,0
1176201816,1.0,0
1374422781,1.0,0
42540488182159607631378741951257114882,1.0,0
459334517,1.0,0
2011961801,1.0,0
1331956510,1.0,0
1734053767,1.4,2
3588646414,2.9,2
1731597048,5.7,2
3236218030,1.0,0
1281025845,1.0,0
2424916211,1.0,0
1085552193,1.0,0
85760572,1.0,0
2891709550,1.0,0
2014685584,1.0,0
1009914549,1.0,0
1038319159,5.7,2
462676616,5.7,2
1839722996,1.0,0
3399035171,4.3,2
737925544,1.4,2
3238657101,1.0,0
3588646414,2.9,2
454150085,1.0,0
605604908,1.0,0
1398058949,1.0,0
826446487,1.0,0
1892840119,1.0,0
3113857831,1.0,0
3735302818,1.0,0
1782919255,1.0,0
1035487314,1.0,0
3291883793,1.0,0
3700382740,1.0,0
1550834206,1.0,0
3588646414,2.9,2
2931952969,1.0,0
2104438102,1.0,0
993709100,1.0,0
1892058482,1.0,0
3321175848,5.7,2
710686884,1.0,0
1892328100,1.0,0
2851023882,8.6,2
694423364,1.0,0
1275818820,1.0,0
2523643352,1.0,0
2969319468,1.0,0
3284847310,1.0,0
3320649946,5.7,2
42540488182159607631084911457978795943,1.0,0
3320649946,5.7,2
42540488182159607631084911457978795943,1.0,0
2101577122,1.0,0
1892215279,1.0,0
1298815426,1.0,0
16896693,5.7,2
1306965714,1.0,0
1507039076,5.7,2
792105498,1.0,0
3074802294,1.0,0
1915717662,1.0,0
826928655,1.0,0
1744253028,1.4,2
3169678624,1.0,0
2416707601,1.0,0
39946944,1.0,0
415613262,1.0,0
1768493325,5.7,2
