src-ip,risk-factor,categories
142.129.208.72,1.0,0
34.209.224.146,1.0,1
124.114.154.170,1.0,1
213.172.152.86,1.0,0
95.47.45.43,1.0,0
210.222.91.114,1.0,1
148.251.46.9,1.0,1
192.168.1.8,1.0,1
37.49.126.126,5.7,2
115.127.96.177,1.51325678497,1
45.241.223.111,1.0,0
103.199.161.6,8.6,2
41.212.58.187,1.51325678497,1
192.168.1.2,1.0,1
213.99.35.18,1.0,1
59.93.158.119,1.0,0
110.171.127.250,1.0,0
121.16.63.152,1.0,1
89.64.10.207,5.7,2
80.3.234.79,1.0,0
41.90.186.113,1.0,0
37.142.6.147,5.7,2
103.38.12.30,4.3,2
114.34.243.184,1.0,1
117.198.193.76,5.7,2
112.119.239.222,1.0,1
5.189.185.57,1.0,1
117.81.51.126,5.7,2
104.207.83.2,1.0,1
115.193.11.152,1.0,1
83.44.154.208,1.0,1
175.136.35.54,1.0,0
59.91.17.238,5.7,2
82.178.214.156,1.0,0
103.226.5.56,1.0,0
125.111.198.36,1.0,0
126.94.235.75,1.0,1
50.65.96.193,1.0,1
59.56.46.107,2.9,2
2001:0:9d38:6abd:3411:260b:7457:2e38,1.0,1
41.250.128.68,1.0,0
180.191.92.23,1.0,1
167.249.144.8,1.0,1
185.21.216.171,1.0,1
94.242.238.66,5.7,2
102.157.216.4,1.0,1
112.172.207.135,1.0,1
179.159.56.49,1.0,1
60.246.176.14,1.0,1
213.230.102.14,2.9,2
2001:0:9d38:6abd:38ce:153a:d625:11a7,1.0,1
180.218.16.89,1.0,0
27.5.59.15,1.0,0
95.139.72.68,1.0,0
54.172.176.181,1.0,1
41.104.143.14,1.0,0
49.33.87.187,1.0,1
118.67.223.206,1.4,2
188.27.184.94,1.0,0
210.54.39.76,1.0,1
41.164.157.204,1.0,1
107.242.112.124,1.0,1
60.180.169.220,1.0,0
219.77.165.201,1.0,1
222.67.14.181,1.0,0
82.11.22.35,1.0,1
109.94.66.147,1.0,1
93.155.223.141,1.0,0
121.74.99.172,1.0,1
198.84.154.27,1.0,0
31.9.180.37,1.0,0
114.238.140.251,1.51325678497,1
183.88.78.134,5.7,2
82.102.92.201,1.0,1
190.58.252.18,1.0,1
77.136.19.50,1.0,1
105.228.156.134,1.0,0
213.144.12.60,1.0,1
2405:204:629c:a749:7058:cbdc:b987:40ff,1.0,1
70.27.106.88,1.0,0
81.236.6.253,1.0,1
2001:0:4137:9e76:182d:7ee:ae13:f902,1.0,1
27.96.227.117,1.0,0
119.236.25.201,1.0,1
79.100.11.30,1.0,0
103.91.143.135,1.4,2
103.54.18.248,5.7,2
192.228.196.174,1.0,0
76.90.231.53,1.0,0
144.137.72.243,1.0,0
64.180.54.65,1.0,0
5.28.154.60,1.0,0
172.91.252.110,1.0,0
