action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,0,213.230.102.14,192.168.1.8,48043,42065,0,2.9,1.0,1.95
0,0,142.129.208.72,192.168.1.8,14217,42065,0,1.0,1.0,1.0
0,0,34.209.224.146,192.168.1.8,8104,42065,0,1.0,1.0,1.0
0,0,124.114.154.170,192.168.1.8,15376,42065,0,1.0,1.0,1.0
0,1,213.172.152.86,192.168.1.8,59089,42065,0,1.0,1.0,1.0
0,0,95.47.45.43,192.168.1.8,64393,42065,0,1.0,1.0,1.0
0,0,210.222.91.114,192.168.1.8,52100,42065,0,1.0,1.0,1.0
0,0,148.251.46.9,192.168.1.8,45464,42065,0,1.0,1.0,1.0
0,0,37.49.126.126,192.168.1.8,46129,42065,0,5.7,1.0,3.35
0,1,115.127.96.177,192.168.1.8,33657,42065,0,-999.0,1.0,-499.0
0,1,45.241.223.111,192.168.1.8,27138,42065,0,1.0,1.0,1.0
0,1,103.199.161.6,192.168.1.8,28084,42065,0,8.6,1.0,4.8
0,0,41.212.58.187,192.168.1.8,38127,42065,0,-999.0,1.0,-499.0
0,0,213.99.35.18,192.168.1.8,3727,42065,0,1.0,1.0,1.0
0,1,59.93.158.119,192.168.1.8,54506,42065,0,1.0,1.0,1.0
0,0,110.171.127.250,192.168.1.8,25997,42065,0,1.0,1.0,1.0
0,1,192.168.1.8,197.245.31.40,57509,25605,1,1.0,5.7,3.35
0,0,121.16.63.152,192.168.1.8,20539,42065,0,1.0,1.0,1.0
0,0,89.64.10.207,192.168.1.8,63884,42065,0,5.7,1.0,3.35
0,1,80.3.234.79,192.168.1.8,65493,42065,0,1.0,1.0,1.0
0,1,41.90.186.113,192.168.1.8,38973,42065,0,1.0,1.0,1.0
0,0,37.142.6.147,192.168.1.8,34736,42065,0,5.7,1.0,3.35
0,1,103.38.12.30,192.168.1.8,38233,42065,0,4.3,1.0,2.65
0,0,114.34.243.184,192.168.1.8,7458,42065,0,1.0,1.0,1.0
0,0,117.198.193.76,192.168.1.8,40391,42065,0,5.7,1.0,3.35
0,0,112.119.239.222,192.168.1.8,8327,42065,0,1.0,1.0,1.0
0,0,5.189.185.57,192.168.1.8,51454,42065,0,1.0,1.0,1.0
0,0,117.81.51.126,192.168.1.8,2179,42065,0,5.7,1.0,3.35
0,1,104.207.83.2,192.168.1.8,56445,42065,0,1.0,1.0,1.0
0,0,115.193.11.152,192.168.1.8,9479,42065,0,1.0,1.0,1.0
0,0,83.44.154.208,192.168.1.8,62260,42065,0,1.0,1.0,1.0
0,0,175.136.35.54,192.168.1.8,40959,42065,0,1.0,1.0,1.0
0,1,175.136.35.54,192.168.1.8,53820,42065,0,1.0,1.0,1.0
0,1,59.91.17.238,192.168.1.8,37050,42065,0,5.7,1.0,3.35
0,0,82.178.214.156,192.168.1.8,38648,42065,0,1.0,1.0,1.0
0,1,82.178.214.156,192.168.1.8,62370,42065,0,1.0,1.0,1.0
0,0,103.226.5.56,192.168.1.8,35498,42065,0,1.0,1.0,1.0
0,0,125.111.198.36,192.168.1.8,4091,42065,0,1.0,1.0,1.0
0,0,126.94.235.75,192.168.1.8,2787,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,122.52.134.144,42065,32936,1,1.0,1.0,1.0
0,0,50.65.96.193,192.168.1.8,6883,42065,0,1.0,1.0,1.0
0,0,59.56.46.107,192.168.1.8,6883,42065,0,2.9,1.0,1.95
0,1,2001:0:9d38:6abd:3411:260b:7457:2e38,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,57357,42065,0,1.0,1.0,1.0
0,1,41.250.128.68,192.168.1.8,7260,42065,0,1.0,1.0,1.0
0,0,180.191.92.23,192.168.1.8,4283,42065,0,1.0,1.0,1.0
