action,protocol,src-ip,dst-ip,src-port,dst-port,size,path
383,233,685,558,259,257,48,515
383,233,704,558,255,257,48,515
383,233,703,558,205,257,48,515
383,233,745,558,262,257,48,515
383,231,704,558,271,257,48,515
383,233,563,558,265,257,48,515
383,233,691,558,248,257,48,515
383,233,610,558,263,257,48,515
383,231,558,606,260,104,48,298
383,233,659,558,262,257,48,515
383,231,713,558,264,257,48,515
383,233,558,711,257,254,48,298
383,231,692,558,261,257,48,515
383,231,558,606,261,104,48,298
383,231,655,558,262,257,48,515
383,233,657,558,261,257,48,515
309,233,552,538,208,208,113,515
383,233,558,659,257,251,48,298
383,233,611,558,211,257,48,515
383,231,669,558,260,257,48,515
383,233,742,558,272,257,48,515
309,233,552,538,208,208,113,515
383,233,558,657,257,223,48,298
309,233,552,538,208,208,113,515
383,231,558,611,259,155,48,298
383,231,558,611,258,155,48,298
383,231,558,654,266,258,48,298
383,233,646,558,259,257,48,515
383,233,607,558,269,257,48,515
383,231,558,558,267,257,48,515
383,231,652,558,270,257,48,515
383,233,605,558,263,257,48,515
383,231,591,558,259,257,48,515
383,233,701,558,216,257,48,515
383,233,719,558,257,257,48,515
383,233,749,558,212,257,48,515
383,233,619,558,259,257,48,515
383,231,558,619,261,202,48,298
383,233,651,558,211,257,48,515
383,233,558,702,257,256,48,298
383,231,558,708,260,202,48,298
383,231,597,558,264,257,48,515
383,233,558,710,257,227,48,298
383,233,696,558,221,257,48,515
383,233,657,558,256,257,48,515
383,233,658,558,267,257,48,515
383,231,658,558,258,257,48,515
383,231,615,558,255,257,48,515
383,233,711,558,269,257,48,515
383,231,711,558,258,257,48,515
383,233,600,558,269,257,48,515
383,233,704,558,206,257,48,515
383,233,662,558,216,257,48,515
383,233,558,574,257,265,48,298
383,233,558,703,257,260,48,298
383,233,558,661,257,268,48,298
383,233,558,695,257,263,48,298
383,233,614,558,217,257,48,515
383,233,613,558,217,257,48,515
383,231,2186,2234,267,257,48,515
383,231,655,558,207,257,48,515
383,233,654,558,209,257,48,515
383,231,664,558,265,257,48,515
383,231,701,558,250,257,48,515
383,231,664,558,255,257,48,515
383,231,655,558,209,257,48,515
383,233,647,558,204,257,48,515
383,233,746,558,215,257,48,515
383,233,558,647,257,249,48,298
383,233,558,554,257,273,48,298
383,231,674,558,256,257,48,515
383,233,655,558,216,257,48,515
383,231,2326,2234,254,257,48,515
383,231,558,551,267,205,48,298
383,233,662,558,213,257,48,515
383,231,655,558,206,257,48,515
383,231,508,558,269,257,48,515
383,233,620,558,212,257,48,515
383,233,709,558,267,257,48,515
383,231,641,558,267,257,48,515
383,233,620,558,215,257,48,515
383,231,704,558,266,257,48,515
383,231,670,558,259,257,48,515
383,233,558,551,256,104,48,298
383,233,558,655,257,155,48,298
383,233,607,558,249,257,48,515
383,233,701,558,215,257,48,515
383,231,741,558,260,257,48,515
383,233,692,558,260,257,48,515
383,233,558,611,257,204,48,298
383,233,701,558,259,257,48,515
383,233,707,558,217,257,48,515
383,233,652,558,258,257,48,515
383,233,546,558,199,257,48,515
383,231,641,558,263,257,48,515
383,233,665,558,272,257,48,515
383,233,702,558,261,257,48,515
383,233,661,558,249,257,48,515
383,233,667,558,216,257,48,515
383,233,554,558,215,257,48,515
383,233,746,558,266,257,48,515
383,233,558,712,257,268,48,298
383,233,558,611,257,254,48,298
383,233,558,554,257,264,48,298
383,231,558,652,262,271,48,298
383,233,669,558,277,257,48,515
383,233,645,558,252,257,48,515
383,231,558,704,264,265,48,298
383,233,558,561,267,209,48,298
383,233,659,558,255,257,48,515
383,233,609,558,259,257,48,515
383,233,752,558,249,257,48,515
383,233,642,558,269,257,48,515
383,231,2458,2234,257,257,48,515
383,231,654,558,215,257,48,515
383,233,609,558,198,257,48,515
383,233,606,558,259,267,48,515
383,231,2190,2234,258,257,48,515
383,233,558,652,257,271,48,298
383,233,662,558,207,257,48,515
383,231,655,558,215,257,48,515
383,233,698,558,207,257,48,515
383,233,558,712,257,256,48,298
383,233,592,558,261,257,48,515
383,233,697,558,260,257,48,515
383,231,654,558,256,257,48,515
383,233,766,558,225,257,48,515
383,233,606,558,251,257,48,515
383,231,704,558,259,257,48,515
383,233,609,558,249,257,48,515
383,233,553,558,249,257,48,515
383,233,697,558,249,257,48,515
309,233,552,538,208,208,113,515
309,233,552,538,208,208,113,515
383,231,697,558,258,257,48,515
309,233,552,538,208,208,113,515
383,233,600,558,211,257,48,515
383,233,655,558,261,257,48,515
383,233,707,558,258,257,48,515
383,233,755,558,254,257,48,515
383,231,655,558,260,257,48,515
383,233,644,558,267,257,48,515
383,233,706,558,210,257,48,515
383,233,615,558,223,257,48,515
309,233,552,538,208,208,113,515
383,233,558,759,259,202,48,298
309,233,552,538,208,208,113,515
383,233,671,558,201,257,48,515
383,231,558,606,265,104,48,298
309,233,552,538,208,208,113,515
383,233,558,607,257,223,48,298
383,233,599,558,201,257,48,515
383,231,558,558,260,257,48,515
383,233,558,656,257,265,48,298
383,233,558,707,257,263,48,298
383,233,671,558,223,257,48,515
383,233,661,558,259,257,48,515
383,231,558,730,268,263,48,298
383,231,739,558,256,257,48,515
383,233,718,558,214,257,48,515
383,233,697,558,216,257,48,515
383,233,619,558,215,257,48,515
383,233,609,558,200,257,48,515
383,233,608,558,265,257,48,515
383,233,558,556,257,264,48,298
383,231,597,558,263,257,48,515
383,233,643,558,212,257,48,515
383,233,646,558,251,257,48,515
383,233,658,558,205,257,48,515
309,233,552,538,208,208,113,515
309,233,552,538,208,208,113,515
383,233,652,558,261,257,48,515
383,233,611,558,264,257,48,515
309,233,552,538,208,208,113,515
383,233,749,558,268,257,48,515
383,231,654,558,266,257,48,515
383,233,609,558,266,257,48,515
383,231,742,558,258,257,48,515
383,233,558,701,257,223,48,298
383,233,657,558,263,257,48,515
383,233,596,558,266,257,48,515
383,233,606,558,217,257,48,515
383,231,641,558,256,257,48,515
383,233,558,641,257,215,48,298
383,233,641,558,255,257,48,515
383,297,2190,2234,45,45,48,515
383,231,755,558,259,257,48,515
383,233,660,558,251,257,48,515
383,233,745,558,256,257,48,515
383,233,558,620,257,257,48,298
383,231,615,558,256,257,48,515
383,233,712,558,261,257,48,515
383,231,712,558,258,257,48,515
383,233,558,658,257,201,48,298
383,297,2234,2190,45,45,48,298
383,233,703,558,254,257,48,515
383,231,742,558,250,257,48,515
383,233,670,558,259,257,48,515
383,231,701,558,263,257,48,515
383,233,558,563,257,263,48,298
383,231,2186,2234,275,257,48,515
383,233,537,558,217,257,48,515
383,231,664,558,264,257,48,515
383,233,699,558,223,257,48,515
383,233,695,558,259,257,48,515
383,233,609,558,218,257,48,515
383,233,558,667,257,215,48,298
383,231,652,558,262,257,48,515
383,231,508,558,267,257,48,515
383,231,664,558,262,257,48,515
383,233,717,558,208,257,48,515
383,233,648,558,220,257,48,515
383,233,612,558,257,257,48,515
383,231,741,558,257,257,48,515
309,233,552,538,208,208,113,515
383,233,696,558,268,257,48,515
309,233,552,538,208,208,113,515
383,231,641,558,253,257,48,515
383,231,2326,2234,253,257,48,515
309,233,552,538,208,208,113,515
383,233,709,558,252,257,48,515
383,233,558,654,257,223,48,298
383,233,550,558,265,257,48,515
383,231,641,558,257,257,48,515
383,233,612,558,215,257,48,515
383,231,669,558,253,257,48,515
383,233,642,558,251,257,48,515
383,231,699,558,202,257,48,515
383,233,558,695,257,251,48,298
383,233,558,649,257,263,48,298
383,50,558,540,45,45,48,298
383,233,709,558,259,257,48,515
383,233,558,699,257,254,48,298
383,231,558,649,268,104,48,298
383,233,666,558,216,257,48,515
383,233,558,758,257,265,48,298
383,233,558,708,257,202,48,298
383,233,558,664,257,259,48,298
383,231,558,606,269,104,48,298
383,231,558,748,261,265,48,298
383,233,695,558,212,257,48,515
309,233,556,538,208,208,113,515
383,233,717,558,260,257,48,515
383,233,648,558,249,257,48,515
383,233,705,558,204,257,48,515
309,233,556,538,208,208,113,515
383,233,700,558,221,257,48,515
309,233,556,538,208,208,113,515
383,233,558,609,257,217,48,298
383,233,701,558,260,257,48,515
383,233,661,558,251,257,48,515
383,233,646,558,215,257,48,515
383,233,695,558,208,257,48,515
383,231,749,558,258,257,48,515
383,233,708,558,221,257,48,515
383,233,751,558,261,257,48,515
383,233,652,558,259,257,48,515
383,233,621,558,256,257,48,515
383,233,492,558,267,257,48,515
383,231,492,558,262,257,48,515
383,233,698,558,271,257,48,515
309,233,552,538,208,208,113,515
383,233,715,558,258,257,48,515
309,233,552,538,208,208,113,515
383,233,647,558,219,257,48,515
383,233,701,558,265,257,48,515
309,233,552,538,208,208,113,515
383,233,700,558,266,257,48,515
383,233,702,558,202,257,48,515
383,233,651,558,227,257,48,515
383,233,650,558,217,257,48,515
383,233,706,558,212,257,48,515
383,231,655,558,210,257,48,515
383,233,606,558,204,257,48,515
383,231,664,558,261,257,48,515
383,233,558,697,257,267,48,298
383,231,713,558,266,257,48,515
383,233,753,558,263,257,48,515
383,231,558,558,269,257,48,515
383,233,558,644,257,257,48,298
383,233,620,558,254,257,48,515
383,233,647,558,261,257,48,515
383,233,739,558,223,257,48,515
383,233,664,558,199,257,48,515
383,233,696,558,259,257,48,515
383,233,699,558,248,257,48,515
383,233,558,600,257,262,48,298
383,233,558,652,257,206,48,298
383,233,558,589,257,252,48,298
383,233,708,558,268,257,48,515
383,233,655,558,262,257,48,515
383,233,746,558,215,257,48,515
383,233,648,558,254,257,48,515
383,231,597,558,258,257,48,515
383,233,558,752,257,261,48,298
383,233,651,558,251,257,48,515
383,231,558,600,268,262,48,298
383,233,558,551,268,104,48,298
383,231,558,595,262,155,48,298
383,231,694,558,261,257,48,515
383,233,756,558,216,257,48,515
383,233,655,558,272,257,48,515
383,233,651,558,268,257,48,515
383,233,658,558,196,257,48,515
383,233,598,558,251,257,48,515
383,233,649,558,215,257,48,515
309,233,552,538,208,208,113,515
383,231,712,558,264,257,48,515
383,231,558,662,267,260,48,298
309,233,552,538,208,208,113,515
383,233,558,655,257,205,48,298
309,233,552,538,208,208,113,515
383,231,651,558,209,257,48,515
383,233,712,558,209,257,48,515
383,233,693,558,259,257,48,515
383,233,772,558,261,257,48,515
383,233,605,558,259,257,48,515
383,231,615,558,273,257,48,515
383,231,654,558,205,257,48,515
383,231,704,558,262,257,48,515
