src-ip,risk-factor,categories
213.230.102.14,2.9,"Categorization
Spam (29%)"
112.134.44.83,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
203.87.133.150,1,"Categorization
Dynamic IPs (71%)"
75.64.98.88,1,"Categorization
Dynamic IPs (71%)"
60.242.200.253,1,Categorization Unsuspicious
80.112.125.135,1,"Categorization
Dynamic IPs (71%)"
119.153.32.217,1,"Categorization
Dynamic IPs (86%)"
169.1.144.43,1,Categorization Unsuspicious
47.29.25.237,1,Categorization Unsuspicious
106.206.6.215,1,"Categorization
Dynamic IPs (71%)"
39.55.231.231,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
182.182.113.130,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
212.124.19.190,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
117.229.80.68,5.7,"Categorization
Spam (57%)"
24.132.25.224,1,Categorization Unsuspicious
157.50.50.236,1,Categorization Unsuspicious
223.237.140.73,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
197.221.250.14,2.9,"Categorization
Spam (29%)"
146.241.210.110,1,Categorization Unsuspicious
2.80.8.131,1,"Categorization
Dynamic IPs (86%)"
223.179.244.252,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
139.167.116.191,1,Categorization Unsuspicious
180.148.50.41,1,Categorization Unsuspicious
5.38.128.151,1,"Categorization
Dynamic IPs (86%)"
src-ip,risk-factor,categories
213.230.102.14,2.9,"Categorization
Spam (29%)"
112.134.44.83,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
203.87.133.150,Unknown,Categorization Unsuspicious
75.64.98.88,1,"Categorization
Dynamic IPs (71%)"
60.242.200.253,1,Categorization Unsuspicious
80.112.125.135,1,"Categorization
Dynamic IPs (71%)"
119.153.32.217,1,"Categorization
Dynamic IPs (86%)"
169.1.144.43,1,Categorization Unsuspicious
47.29.25.237,1,Categorization Unsuspicious
106.206.6.215,1,"Categorization
Dynamic IPs (71%)"
39.55.231.231,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
182.182.113.130,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
212.124.19.190,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
117.229.80.68,5.7,"Categorization
Spam (57%)"
24.132.25.224,1,Categorization Unsuspicious
157.50.50.236,1,Categorization Unsuspicious
223.237.140.73,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
197.221.250.14,2.9,"Categorization
Spam (29%)"
146.241.210.110,1,Categorization Unsuspicious
2.80.8.131,1,"Categorization
Dynamic IPs (86%)"
src-ip,risk-factor,categories
213.230.102.14,2.9,"Categorization
Spam (29%)"
112.134.44.83,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
203.87.133.150,Unknown,Categorization Unsuspicious
75.64.98.88,1,"Categorization
Dynamic IPs (71%)"
60.242.200.253,1,Categorization Unsuspicious
80.112.125.135,1,"Categorization
Dynamic IPs (71%)"
119.153.32.217,1,"Categorization
Dynamic IPs (86%)"
169.1.144.43,1,Categorization Unsuspicious
47.29.25.237,1,Categorization Unsuspicious
106.206.6.215,1,"Categorization
Dynamic IPs (71%)"
39.55.231.231,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
182.182.113.130,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
212.124.19.190,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
117.229.80.68,5.7,"Categorization
Spam (57%)"
24.132.25.224,1,Categorization Unsuspicious
157.50.50.236,1,Categorization Unsuspicious
223.237.140.73,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
197.221.250.14,2.9,"Categorization
Spam (29%)"
146.241.210.110,1,Categorization Unsuspicious
src-ip,risk-factor,categories
213.230.102.14,2.9,"Categorization
Spam (29%)"
112.134.44.83,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
203.87.133.150,1,"Categorization
Dynamic IPs (71%)"
75.64.98.88,1,"Categorization
Dynamic IPs (71%)"
60.242.200.253,1,Categorization Unsuspicious
80.112.125.135,1,"Categorization
Dynamic IPs (71%)"
119.153.32.217,1,"Categorization
Dynamic IPs (86%)"
169.1.144.43,1,Categorization Unsuspicious
