src-ip,risk-factor,categories
142.129.208.72,1,"Categorization Dynamic IPs (71%)"
34.209.224.146,1,Categorization Unsuspicious
124.114.154.170,1,Categorization Unsuspicious
213.172.152.86,1,"Categorization Dynamic IPs (71%)"
95.47.45.43,1,"Categorization Dynamic IPs (71%)"
210.222.91.114,1,Categorization Unsuspicious
148.251.46.9,1,Categorization Unsuspicious
192.168.1.8,1,Categorization Unsuspicious
37.49.126.126,5.7,"Categorization Spam (57%) Dynamic IPs (71%)"
115.127.96.177,Unknown,Categorization Unsuspicious
45.241.223.111,1,"Categorization Dynamic IPs (86%)"
103.199.161.6,8.6,"Categorization Spam (86%) Dynamic IPs (71%)"
41.212.58.187,Unknown,Categorization Unsuspicious
192.168.1.2,1,Categorization Unsuspicious
213.99.35.18,1,Categorization Unsuspicious
59.93.158.119,1,"Categorization Dynamic IPs (71%)"
110.171.127.250,1,"Categorization Dynamic IPs (71%)"
121.16.63.152,1,Categorization Unsuspicious
89.64.10.207,5.7,"Categorization Spam (57%) Dynamic IPs (71%)"
80.3.234.79,1,"Categorization Dynamic IPs (71%)"
41.90.186.113,1,"Categorization Dynamic IPs (86%)"
37.142.6.147,5.7,"Categorization Spam (57%) Dynamic IPs (71%)"
103.38.12.30,4.3,"Categorization Dynamic IPs (71%) Bots (43%)"
114.34.243.184,1,Categorization Unsuspicious
117.198.193.76,5.7,"Categorization Spam (57%) Dynamic IPs (71%)"
112.119.239.222,1,Categorization Unsuspicious
5.189.185.57,1,Categorization Unsuspicious
5.189.185.57,1,Categorization Unsuspicious
117.81.51.126,5.7,"Categorization Spam (57%) Dynamic IPs (86%)"
104.207.83.2,1,Categorization Unsuspicious
115.193.11.152,1,Categorization Unsuspicious
83.44.154.208,1,Categorization Unsuspicious
175.136.35.54,1,"Categorization Dynamic IPs (71%)"
59.91.17.238,5.7,"Categorization Spam (57%) Dynamic IPs (86%)"
82.178.214.156,1,"Categorization Dynamic IPs (71%)"
103.226.5.56,1,"Categorization Dynamic IPs (71%)"
125.111.198.36,1,"Categorization Dynamic IPs (71%)"
126.94.235.75,1,Categorization Unsuspicious
50.65.96.193,1,Categorization Unsuspicious
59.56.46.107,2.9,"Categorization Spam (29%) Dynamic IPs (71%)"
2001:0:9d38:6abd:3411:260b:7457:2e38,1,Categorization Unsuspicious
41.250.128.68,1,"Categorization Dynamic IPs (86%)"
180.191.92.23,1,Categorization Unsuspicious
167.249.144.8,1,Categorization Unsuspicious
185.21.216.171,1,Categorization Unsuspicious
94.242.238.66,5.7,"Categorization Anonymisation Services (57%)"
102.157.216.4,1,Categorization Unsuspicious
112.172.207.135,1,Categorization Unsuspicious
179.159.56.49,1,Categorization Unsuspicious
60.246.176.14,1,Categorization Unsuspicious
213.230.102.14,2.9,"Categorization Spam (29%)"
2001:0:9d38:6abd:38ce:153a:d625:11a7,1,Categorization Unsuspicious
180.218.16.89,1,"Categorization Dynamic IPs (86%)"
27.5.59.15,1,"Categorization Dynamic IPs (71%)"
95.139.72.68,1,"Categorization Dynamic IPs (86%)"
54.172.176.181,1,Categorization Unsuspicious
41.104.143.14,1,"Categorization Dynamic IPs (86%)"
49.33.87.187,1,Categorization Unsuspicious
118.67.223.206,1.4,"Categorization Spam (14%) Dynamic IPs (71%)"
188.27.184.94,1,"Categorization Dynamic IPs (71%)"
210.54.39.76,1,Categorization Unsuspicious
41.164.157.204,1,Categorization Unsuspicious
107.242.112.124,1,Categorization Unsuspicious
60.180.169.220,1,"Categorization Dynamic IPs (86%)"
219.77.165.201,1,Categorization Unsuspicious
213.230.102.14,2.9,"Categorization Spam (29%)"
222.67.14.181,1,"Categorization Dynamic IPs (71%)"
82.11.22.35,1,Categorization Unsuspicious
109.94.66.147,1,Categorization Unsuspicious
93.155.223.141,1,"Categorization Dynamic IPs (71%)"
121.74.99.172,1,Categorization Unsuspicious
198.84.154.27,1,"Categorization Dynamic IPs (71%)"
31.9.180.37,1,"Categorization Dynamic IPs (86%)"
114.238.140.251,Unknown,Categorization Unsuspicious
183.88.78.134,5.7,"Categorization Spam (57%) Dynamic IPs (86%)"
82.102.92.201,1,Categorization Unsuspicious
190.58.252.18,1,Categorization Unsuspicious
77.136.19.50,1,Categorization Unsuspicious
213.230.102.14,2.9,"Categorization Spam (29%)"
105.228.156.134,1,"Categorization Dynamic IPs (71%)"
213.144.12.60,1,Categorization Unsuspicious
2405:204:629c:a749:7058:cbdc:b987:40ff,1,Categorization Unsuspicious
70.27.106.88,1,"Categorization Dynamic IPs (71%)"
81.236.6.253,1,Categorization Unsuspicious
2001:0:4137:9e76:182d:7ee:ae13:f902,1,Categorization Unsuspicious
27.96.227.117,1,"Categorization Dynamic IPs (86%)"
119.236.25.201,1,Categorization Unsuspicious
79.100.11.30,1,"Categorization Dynamic IPs (71%)"
103.91.143.135,1.4,"Categorization Spam (14%) Dynamic IPs (71%)"
213.230.102.14,2.9,"Categorization Spam (29%)"
103.54.18.248,5.7,"Categorization Spam (57%) Dynamic IPs (86%)"
192.228.196.174,1,"Categorization Dynamic IPs (86%)"
76.90.231.53,1,"Categorization Dynamic IPs (71%)"
144.137.72.243,1,"Categorization Dynamic IPs (86%)"
