
src-ip,risk-factor,categories
['142.129.208.72'],1,"Categorization
Dynamic IPs (71%)"
['142.129.208.72'],1,"Categorization
Dynamic IPs (71%)"
['142.129.208.72'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['34.209.224.146'],1,Categorization Unsuspicious
['34.209.224.146'],1,Categorization Unsuspicious
['34.209.224.146'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['124.114.154.170'],1,Categorization Unsuspicious
['124.114.154.170'],1,Categorization Unsuspicious
['124.114.154.170'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['213.172.152.86'],1,"Categorization
Dynamic IPs (71%)"
['213.172.152.86'],1,"Categorization
Dynamic IPs (71%)"
['213.172.152.86'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['95.47.45.43'],1,"Categorization
Dynamic IPs (71%)"
['95.47.45.43'],1,"Categorization
Dynamic IPs (71%)"
['95.47.45.43'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['210.222.91.114'],1,Categorization Unsuspicious
['210.222.91.114'],1,Categorization Unsuspicious
['210.222.91.114'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['148.251.46.9'],1,Categorization Unsuspicious
['148.251.46.9'],1,Categorization Unsuspicious
['148.251.46.9'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['192.168.1.8'],1,Categorization Unsuspicious
['192.168.1.8'],1,Categorization Unsuspicious
['192.168.1.8'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['37.49.126.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['37.49.126.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['37.49.126.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['115.127.96.177'],1.4,"Categorization
Spam (14%)
Dynamic IPs (71%)
Bots (14%)"
['115.127.96.177'],1.4,"Categorization
Spam (14%)
Dynamic IPs (71%)
Bots (14%)"
['115.127.96.177'],1.4,"Categorization
Spam (14%)
Dynamic IPs (71%)
Bots (14%)"
src-ip,risk-factor,categories
['45.241.223.111'],1,"Categorization
Dynamic IPs (86%)"
['45.241.223.111'],1,"Categorization
Dynamic IPs (86%)"
['45.241.223.111'],1,"Categorization
Dynamic IPs (86%)"
src-ip,risk-factor,categories
['103.199.161.6'],8.6,"Categorization
Spam (86%)
Dynamic IPs (71%)"
['103.199.161.6'],8.6,"Categorization
Spam (86%)
Dynamic IPs (71%)"
['103.199.161.6'],8.6,"Categorization
Spam (86%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['41.212.58.187'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
['41.212.58.187'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
['41.212.58.187'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
src-ip,risk-factor,categories
['192.168.1.2'],1,Categorization Unsuspicious
['192.168.1.2'],1,Categorization Unsuspicious
['192.168.1.2'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['213.99.35.18'],1,Categorization Unsuspicious
['213.99.35.18'],1,Categorization Unsuspicious
['213.99.35.18'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['59.93.158.119'],1,"Categorization
Dynamic IPs (71%)"
['59.93.158.119'],1,"Categorization
Dynamic IPs (71%)"
['59.93.158.119'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['110.171.127.250'],1,"Categorization
Dynamic IPs (71%)"
['110.171.127.250'],1,"Categorization
Dynamic IPs (71%)"
['110.171.127.250'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['121.16.63.152'],1,Categorization Unsuspicious
['121.16.63.152'],1,Categorization Unsuspicious
['121.16.63.152'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['89.64.10.207'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['89.64.10.207'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['89.64.10.207'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['80.3.234.79'],1,"Categorization
Dynamic IPs (71%)"
['80.3.234.79'],1,"Categorization
Dynamic IPs (71%)"
['80.3.234.79'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['41.90.186.113'],1,"Categorization
Dynamic IPs (86%)"
['41.90.186.113'],1,"Categorization
Dynamic IPs (86%)"
['41.90.186.113'],1,"Categorization
Dynamic IPs (86%)"
src-ip,risk-factor,categories
['37.142.6.147'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['37.142.6.147'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['37.142.6.147'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['103.38.12.30'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
['103.38.12.30'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
['103.38.12.30'],4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
src-ip,risk-factor,categories
['114.34.243.184'],1,Categorization Unsuspicious
['114.34.243.184'],1,Categorization Unsuspicious
['114.34.243.184'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['117.198.193.76'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['117.198.193.76'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
['117.198.193.76'],5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['112.119.239.222'],1,Categorization Unsuspicious
['112.119.239.222'],1,Categorization Unsuspicious
['112.119.239.222'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['5.189.185.57'],1,Categorization Unsuspicious
['5.189.185.57'],1,Categorization Unsuspicious
['5.189.185.57'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['117.81.51.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
['117.81.51.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
['117.81.51.126'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
src-ip,risk-factor,categories
['104.207.83.2'],1,Categorization Unsuspicious
['104.207.83.2'],1,Categorization Unsuspicious
['104.207.83.2'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['115.193.11.152'],1,Categorization Unsuspicious
['115.193.11.152'],1,Categorization Unsuspicious
['115.193.11.152'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['83.44.154.208'],1,Categorization Unsuspicious
['83.44.154.208'],1,Categorization Unsuspicious
['83.44.154.208'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['175.136.35.54'],1,"Categorization
Dynamic IPs (71%)"
['175.136.35.54'],1,"Categorization
Dynamic IPs (71%)"
['175.136.35.54'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['59.91.17.238'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
['59.91.17.238'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
['59.91.17.238'],5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
src-ip,risk-factor,categories
['82.178.214.156'],1,"Categorization
Dynamic IPs (71%)"
['82.178.214.156'],1,"Categorization
Dynamic IPs (71%)"
['82.178.214.156'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['103.226.5.56'],1,"Categorization
Dynamic IPs (71%)"
['103.226.5.56'],1,"Categorization
Dynamic IPs (71%)"
['103.226.5.56'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['125.111.198.36'],1,"Categorization
Dynamic IPs (71%)"
['125.111.198.36'],1,"Categorization
Dynamic IPs (71%)"
['125.111.198.36'],1,"Categorization
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['126.94.235.75'],1,Categorization Unsuspicious
['126.94.235.75'],1,Categorization Unsuspicious
['126.94.235.75'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['50.65.96.193'],1,Categorization Unsuspicious
['50.65.96.193'],1,Categorization Unsuspicious
['50.65.96.193'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['59.56.46.107'],2.9,"Categorization
Spam (29%)
Dynamic IPs (71%)"
['59.56.46.107'],2.9,"Categorization
Spam (29%)
Dynamic IPs (71%)"
['59.56.46.107'],2.9,"Categorization
Spam (29%)
Dynamic IPs (71%)"
src-ip,risk-factor,categories
['2001:0:9d38:6abd:3411:260b:7457:2e38'],1,Categorization Unsuspicious
['2001:0:9d38:6abd:3411:260b:7457:2e38'],1,Categorization Unsuspicious
['2001:0:9d38:6abd:3411:260b:7457:2e38'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['41.250.128.68'],1,"Categorization
Dynamic IPs (86%)"
['41.250.128.68'],1,"Categorization
Dynamic IPs (86%)"
['41.250.128.68'],1,"Categorization
Dynamic IPs (86%)"
src-ip,risk-factor,categories
['180.191.92.23'],1,Categorization Unsuspicious
['180.191.92.23'],1,Categorization Unsuspicious
['180.191.92.23'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['167.249.144.8'],1,Categorization Unsuspicious
['167.249.144.8'],1,Categorization Unsuspicious
['167.249.144.8'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['185.21.216.171'],1,Categorization Unsuspicious
['185.21.216.171'],1,Categorization Unsuspicious
['185.21.216.171'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['94.242.238.66'],5.7,"Categorization
Anonymisation Services (57%)"
['94.242.238.66'],5.7,"Categorization
Anonymisation Services (57%)"
['94.242.238.66'],5.7,"Categorization
Anonymisation Services (57%)"
src-ip,risk-factor,categories
['102.157.216.4'],1,Categorization Unsuspicious
['102.157.216.4'],1,Categorization Unsuspicious
['102.157.216.4'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['112.172.207.135'],1,Categorization Unsuspicious
['112.172.207.135'],1,Categorization Unsuspicious
['112.172.207.135'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['179.159.56.49'],1,Categorization Unsuspicious
['179.159.56.49'],1,Categorization Unsuspicious
['179.159.56.49'],1,Categorization Unsuspicious
src-ip,risk-factor,categories
['60.246.176.14'],1,Categorization Unsuspicious
['60.246.176.14'],1,Categorization Unsuspicious
['60.246.176.14'],1,Categorization Unsuspicious
