src-ip,risk-factor,categories
34.209.224.146,1,Unsuspicious
124.114.154.170,1,Unsuspicious
213.172.152.86,1,Dynamic IPs
95.47.45.43,1,Dynamic IPs
210.222.91.114,1,Unsuspicious
148.251.46.9,1,Unsuspicious
192.168.1.8,1,Unsuspicious
37.49.126.126,5.7,Suspicious
115.127.96.177,Unknown,Unsuspicious
45.241.223.111,1,Dynamic IPs
103.199.161.6,8.6,Suspicious
41.212.58.187,Unknown,Unsuspicious
192.168.1.2,1,Unsuspicious
213.99.35.18,1,Unsuspicious
59.93.158.119,1,Dynamic IPs
110.171.127.250,1,Dynamic IPs
121.16.63.152,1,Unsuspicious
89.64.10.207,5.7,Suspicious
80.3.234.79,1,Dynamic IPs
41.90.186.113,1,Dynamic IPs
37.142.6.147,5.7,Suspicious
103.38.12.30,4.3,Suspicious
114.34.243.184,1,Unsuspicious
117.198.193.76,5.7,Suspicious
112.119.239.222,1,Unsuspicious
5.189.185.57,1,Unsuspicious
117.81.51.126,5.7,Suspicious
104.207.83.2,1,Unsuspicious
115.193.11.152,1,Unsuspicious
83.44.154.208,1,Unsuspicious
175.136.35.54,1,Dynamic IPs
59.91.17.238,5.7,Suspicious
82.178.214.156,1,Dynamic IPs
103.226.5.56,1,Dynamic IPs
125.111.198.36,1,Dynamic IPs
126.94.235.75,1,Unsuspicious
50.65.96.193,1,Unsuspicious
59.56.46.107,2.9,Suspicious
2001:0:9d38:6abd:3411:260b:7457:2e38,1,Unsuspicious
41.250.128.68,1,Dynamic IPs
180.191.92.23,1,Unsuspicious
167.249.144.8,1,Unsuspicious
185.21.216.171,1,Unsuspicious
94.242.238.66,5.7,Suspicious
102.157.216.4,1,Unsuspicious
112.172.207.135,1,Unsuspicious
179.159.56.49,1,Unsuspicious
60.246.176.14,1,Unsuspicious
213.230.102.14,2.9,Suspicious
2001:0:9d38:6abd:38ce:153a:d625:11a7,1,Unsuspicious
180.218.16.89,1,Dynamic IPs
27.5.59.15,1,Dynamic IPs
95.139.72.68,1,Dynamic IPs
54.172.176.181,1,Unsuspicious
41.104.143.14,1,Dynamic IPs
49.33.87.187,1,Unsuspicious
118.67.223.206,1.4,Suspicious
188.27.184.94,1,Dynamic IPs
210.54.39.76,1,Unsuspicious
41.164.157.204,1,Unsuspicious
107.242.112.124,1,Unsuspicious
