,src-ip,risk-factor,categories
0,2390872136.0,1.0,0
1,584179858.0,1.0,1
2,2087885482.0,1.0,1
3,3584858198.0,1.0,0
4,1596927275.0,1.0,0
5,3537787762.0,1.0,1
6,2499489289.0,1.0,1
7,3232235784.0,1.0,1
8,624000638.0,5.7,2
9,1937727665.0,1.51325678497,1
10,770826095.0,1.0,0
11,1741136134.0,8.6,2
12,701774523.0,1.51325678497,1
13,3232235778.0,1.0,1
14,3580044050.0,1.0,1
15,995991159.0,1.0,0
16,1856733178.0,1.0,0
17,2031107992.0,1.0,1
18,1497369295.0,5.7,2
19,1342433871.0,1.0,0
20,693811825.0,1.0,0
21,630064787.0,5.7,2
22,1730546718.0,4.3,2
23,1914893240.0,1.0,1
24,1975959884.0,5.7,2
25,1886908382.0,1.0,1
26,96319801.0,1.0,1
27,1968255870.0,5.7,2
28,1758417666.0,1.0,1
29,1942031256.0,1.0,1
30,1395432144.0,1.0,1
31,2944934710.0,1.0,0
32,995824110.0,5.7,2
33,1387452060.0,1.0,0
34,1742865720.0,1.0,0
35,2104477220.0,1.0,0
36,2120149835.0,1.0,1
37,843145409.0,1.0,1
38,993537643.0,2.9,2
39,,1.0,1
40,704282692.0,1.0,0
41,3032439831.0,1.0,1
42,2818150408.0,1.0,1
43,3105216683.0,1.0,1
44,1592979010.0,5.7,2
45,1721620484.0,1.0,1
46,1890373511.0,1.0,1
47,3013556273.0,1.0,1
48,1022799886.0,1.0,1
49,3588646414.0,2.9,2
50,4.25404882106e+37,1.0,1
51,3034189913.0,1.0,0
52,453327631.0,1.0,0
53,1602963524.0,1.0,0
54,917287093.0,1.0,1
55,694718222.0,1.0,0
56,824268731.0,1.0,1
57,1984159694.0,1.4,2
58,3155933278.0,1.0,0
59,3526764364.0,1.0,1
60,698654156.0,1.0,1
61,1811050620.0,1.0,1
62,1018472924.0,1.0,0
63,3679299017.0,1.0,1
64,3728936629.0,1.0,0
65,1376458275.0,1.0,1
66,1834893971.0,1.0,1
67,1570496397.0,1.0,0
68,2034918316.0,1.0,1
69,3327433243.0,1.0,0
70,520729637.0,1.0,0
71,1928236283.0,1.51325678497,1
72,3076017798.0,5.7,2
73,1382440137.0,1.0,1
74,3191536658.0,1.0,1
75,1300763442.0,1.0,1
76,1776589958.0,1.0,0
77,3582987324.0,1.0,1
78,4.78782102448e+37,1.0,1
79,1176201816.0,1.0,0
80,1374422781.0,1.0,1
81,4.25404881822e+37,1.0,1
82,459334517.0,1.0,0
83,2011961801.0,1.0,1
84,1331956510.0,1.0,0
85,1734053767.0,1.4,2
86,1731597048.0,5.7,2
87,3236218030.0,1.0,0
88,1281025845.0,1.0,0
89,2424916211.0,1.0,0
90,1085552193.0,1.0,0
91,85760572.0,1.0,0
92,2891709550.0,1.0,0
93,2014685584.0,1.0,1
94,1009914549.0,1.0,0
95,1038319159.0,5.7,2
96,462676616.0,5.7,2
97,1839722996.0,1.0,0
98,3399035171.0,4.3,2
99,737925544.0,1.4,2
100,3238657101.0,1.0,1
101,454150085.0,1.0,1
102,605604908.0,1.0,1
103,1398058949.0,1.0,1
104,826446487.0,1.0,1
105,1892840119.0,1.0,0
106,3113857831.0,1.0,1
107,3735302818.0,1.0,0
108,1782919255.0,1.0,0
109,1035487314.0,1.0,1
110,3291883793.0,1.0,1
111,3700382740.0,1.0,0
112,1550834206.0,1.0,1
113,2931952969.0,1.0,1
114,2104438102.0,1.0,0
115,993709100.0,1.0,1
116,1892058482.0,1.0,0
117,3321175848.0,5.7,2
118,710686884.0,1.0,1
119,1892328100.0,1.0,0
120,2851023882.0,8.6,2
121,694423364.0,1.0,0
122,1275818820.0,1.0,0
123,2523643352.0,1.0,0
124,2969319468.0,1.0,1
125,3284847310.0,1.0,0
126,3320649946.0,5.7,2
127,4.25404881822e+37,1.0,1
128,2101577122.0,1.0,0
129,1892215279.0,1.0,0
130,1298815426.0,1.0,1
131,16896693.0,5.7,2
132,1306965714.0,1.0,1
133,1507039076.0,5.7,2
134,792105498.0,1.0,0
135,3074802294.0,1.0,1
136,1915717662.0,1.0,0
137,826928655.0,1.0,1
138,1744253028.0,1.4,2
139,3169678624.0,1.0,1
140,2416707601.0,1.0,1
141,39946944.0,1.0,0
142,415613262.0,1.0,0
143,1768493325.0,5.7,2
144,1791956973.0,1.0,0
145,3153532552.0,1.0,1
146,1833777891.0,1.0,0
147,1899263729.0,1.0,1
148,3232235782.0,1.0,1
149,3168885927.0,1.0,0
150,1590811659.0,1.0,0
151,1038416787.0,1.0,0
152,3071963899.0,1.0,1
153,3654172394.0,1.0,1
154,1318661302.0,1.0,1
155,1007680390.0,1.0,1
156,698379506.0,1.0,1
157,2393367506.0,1.0,1
158,3030013074.0,1.0,1
159,1790302837.0,1.0,1
160,1018466605.0,1.0,0
161,609787203.0,1.0,0
162,36832617.0,5.7,2
163,1014621356.0,1.0,0
164,2005840735.0,1.0,1
165,1534683929.0,1.0,2
166,2050936715.0,1.0,1
167,989842378.0,5.7,2
168,3155849211.0,1.0,0
169,1908508677.0,5.7,2
170,1785217106.0,1.0,1
171,2871834241.0,1.0,1
172,919157568.0,1.0,1
173,1832986597.0,1.0,0
174,1740933618.0,10.0,2
175,1566810971.0,1.0,0
176,3419822645.0,1.0,0
177,3655951501.0,1.0,1
178,1179484600.0,1.0,1
179,3513812778.0,1.0,1
180,1349681394.0,1.0,1
181,415337115.0,1.0,0
182,1451762563.0,1.0,1
183,2107997168.0,1.0,0
184,2875498245.0,1.0,1
185,1601809950.0,1.51325678497,1
186,2057390539.0,5.7,2
187,2900063952.0,1.0,0
188,1867662199.0,1.0,0
189,1947754089.0,1.0,1
190,2059424350.0,1.0,1
191,634533391.0,1.51325678497,1
192,1915302112.0,1.0,0
193,695392605.0,1.0,1
194,1017625270.0,1.0,0
195,3747246567.0,1.0,1
196,3338646391.0,1.0,0
197,1947963401.0,1.0,1
198,1763420994.0,1.0,1
199,1490089367.0,1.0,1
200,657387875.0,5.7,2
201,999560484.0,1.0,1
202,1885503876.0,1.0,0
203,1886375071.0,1.0,0
204,3678760460.0,1.0,1
205,737366582.0,5.7,2
206,1811050615.0,1.0,1
207,1918662368.0,1.0,1
208,1146267236.0,1.0,1
209,619154076.0,1.0,0
210,1943759573.0,1.0,1
211,2954885323.0,1.0,1
212,1430099482.0,1.0,0
213,3657110027.0,1.0,1
214,1776417957.0,1.0,0
215,984628595.0,1.0,1
216,39242207.0,1.0,0
217,1982142914.0,1.0,1
218,1964936503.0,1.0,0
219,1991635777.0,1.0,1
220,984849683.0,1.0,1
221,2927722355.0,1.51325678497,1
222,1303451160.0,1.0,0
223,1988897402.0,1.0,1
224,3080404203.0,1.0,0
225,3633820833.0,1.0,1
226,86354298.0,1.0,0
227,2130706433.0,1.0,1
228,1878072230.0,1.0,0
229,1850911237.0,1.0,0
230,3199545375.0,1.0,1
231,1781329866.0,1.0,1
232,3582480366.0,1.0,1
233,2002161283.0,1.0,0
234,3582480333.0,1.0,1
235,1968463362.0,1.0,0
236,2936570031.0,1.0,0
237,2904777174.0,1.0,1
238,27361387.0,1.0,0
239,2023040418.0,1.0,0
240,1275586224.0,1.0,1
241,1732423774.0,2.9,2
242,987297610.0,1.0,1
243,1424301364.0,1.0,0
244,779376589.0,1.0,1
245,1914296772.0,1.0,0
246,454833787.0,1.0,1
247,1944382882.0,1.0,1
248,619404502.0,1.0,0
249,402129988.0,1.0,0
250,3573321321.0,1.0,0
251,1781766682.0,1.51325678497,1
252,84722174.0,1.0,1
253,3300964110.0,1.0,1
254,831806231.0,1.0,0
255,3036113522.0,1.0,0
256,1976023714.0,5.7,2
257,1744677197.0,4.3,2
258,1847043682.0,1.0,0
259,2090134995.0,1.0,1
260,2784975266.0,5.7,2
261,1449373523.0,1.0,0
262,3162475800.0,1.0,0
263,3221184073.0,1.0,0
264,763150735.0,5.7,2
265,243837655.0,1.0,1
266,2918176543.0,1.0,1
267,1743233605.0,10.0,2
268,835663988.0,5.7,2
269,1143553082.0,1.0,1
270,2040358244.0,1.0,1
271,1964644052.0,1.0,0
272,1985865204.0,1.0,0
273,700269203.0,1.0,1
274,3230439827.0,1.0,1
275,460940341.0,1.0,0
276,619142751.0,1.0,0
277,2667547345.0,1.0,0
278,3116932388.0,1.0,0
279,2102293930.0,1.0,0
280,1010006140.0,1.0,1
281,1046910133.0,1.0,1
282,1568371185.0,1.0,1
283,1742304680.0,5.7,2
284,1311420141.0,1.0,0
285,1408957856.0,1.0,0
286,3216840674.0,1.0,1
287,1407463849.0,1.0,0
288,2018938293.0,1.0,0
289,1966921753.0,1.0,1
290,1614454702.0,1.0,1
291,1944120306.0,1.0,1
292,3.38288524927e+38,1.0,1
293,3.38288524927e+38,1.0,1
294,2987700926.0,1.0,1
295,248085704.0,1.0,1
296,534202546.0,1.0,0
